gene,log2FoldChange,pValue,rawPValue,qValue,significant
SENP7,0.725571,0.0840799,0.0840799,0.944178,no
SENP8,0.300757,0.819913,0.819913,0.999906,no
SEP15,-0.371841,0.248907,0.248907,0.999906,no
SEPHS1,0.0771076,0.822477,0.822477,0.999906,no
SEPHS2,-0.0756563,0.81506,0.81506,0.999906,no
SEPN1,-0.0740723,0.822568,0.822568,0.999906,no
SEPP1,-0.420411,0.300727,0.300727,0.999906,no
SEPSECS,0.235267,0.595613,0.595613,0.999906,no
SEPT1,-0.253167,0.854378,0.854378,0.999906,no
SEPT10,-0.0695058,0.827276,0.827276,0.999906,no
SEPT11,-0.116956,0.772104,0.772104,0.999906,no
SEPT2,0.0425434,0.957512,0.957512,0.999906,no
SEPT4,-1.878,0.0953418,0.0953418,0.999906,no
SEPT5,0.416623,0.452332,0.452332,0.999906,no
SEPT5-GP1BB,0.215494,0.759838,0.759838,0.999906,no
SEPT6,-0.0152465,0.976012,0.976012,0.999906,no
SEPT7,-0.231821,0.498528,0.498528,0.999906,no
SEPT7P2,0.141504,0.796197,0.796197,0.999906,no
SEPT8,0.317188,0.328292,0.328292,0.999906,no
SEPT9,0.41269,0.269735,0.269735,0.999906,no
SEPW1,-0.202127,0.554589,0.554589,0.999906,no
SEPX1,-0.684719,0.0831842,0.0831842,0.94106,no
SERAC1,0.291272,0.37206,0.37206,0.999906,no
SERF2,-0.0571188,0.907083,0.907083,0.999906,no
SERF2-C15ORF63,0.408451,0.993116,0.993116,0.999906,no
SERGEF,-0.0660973,0.890069,0.890069,0.999906,no
SERHL2,-0.0596675,0.963282,0.963282,0.999906,no
SERINC1,-0.211446,0.549482,0.549482,0.999906,no
SERINC2,-0.313602,0.47229,0.47229,0.999906,no
SERINC3,-0.37747,0.286807,0.286807,0.999906,no
SERINC5,0.0996287,0.773965,0.773965,0.999906,no
SERP1,0.0738285,0.810858,0.810858,0.999906,no
SERP2,-0.303942,0.641184,0.641184,0.999906,no
SERPINA3,-3.34375,1e-300,0.0,0.0,yes
SERPINB1,-0.538308,0.139945,0.139945,0.999906,no
SERPINB6,0.220721,0.484483,0.484483,0.999906,no
SERPINB8,-0.662375,0.16542,0.16542,0.999906,no
SERPINB9,-0.70193,0.133831,0.133831,0.999906,no
SERPINE1,-0.750952,0.0365764,0.0365764,0.586308,no
SERPINE2,0.632906,0.108029,0.108029,0.999906,no
SERPINF1,0.140085,0.684374,0.684374,0.999906,no
SERPING1,-0.449724,0.300084,0.300084,0.999906,no
SERPINH1,0.64489,0.0579667,0.0579667,0.782521,no
SERPINI1,-0.114927,0.883862,0.883862,0.999906,no
SERTAD1,0.0118048,0.978583,0.978583,0.999906,no
SERTAD2,0.199278,0.538699,0.538699,0.999906,no
SERTAD3,0.0819754,0.845155,0.845155,0.999906,no
SESN1,0.318439,0.39975,0.39975,0.999906,no
SESN2,0.903658,0.00738665,0.00738665,0.197265,no
SESN3,0.576472,0.107991,0.107991,0.999906,no
SESTD1,0.135932,0.665046,0.665046,0.999906,no
SET,-0.098798,0.780703,0.780703,0.999906,no
SETBP1,0.186782,0.666421,0.666421,0.999906,no
SETD1A,0.0176134,0.959725,0.959725,0.999906,no
SETD1B,-0.268132,0.405196,0.405196,0.999906,no
SETD2,0.0253398,0.934733,0.934733,0.999906,no
SETD3,-0.219124,0.53173,0.53173,0.999906,no
SETD4,0.238569,0.691371,0.691371,0.999906,no
SETD5,0.186805,0.544926,0.544926,0.999906,no
SETD6,-0.154483,0.951006,0.951006,0.999906,no
SETD7,-0.0919279,0.770899,0.770899,0.999906,no
SETD8,0.177215,0.591008,0.591008,0.999906,no
SETD9,0.303463,0.849024,0.849024,0.999906,no
SETDB1,-0.0209961,0.961684,0.961684,0.999906,no
SETDB2,0.0263304,0.948787,0.948787,0.999906,no
SETMAR,-0.591577,0.203737,0.203737,0.999906,no
SETX,-0.071861,0.817178,0.817178,0.999906,no
SEZ6L2,-0.0453968,0.905304,0.905304,0.999906,no
SF1,-0.123918,0.717805,0.717805,0.999906,no
SF3A1,-0.197819,0.528569,0.528569,0.999906,no
SF3A2,0.075948,0.829593,0.829593,0.999906,no
SF3A3,-0.214792,0.51108,0.51108,0.999906,no
SF3B1,0.104793,0.851472,0.851472,0.999906,no
SF3B14,0.00365617,0.991452,0.991452,0.999906,no
SF3B2,-0.127896,0.685492,0.685492,0.999906,no
SF3B3,0.0356602,0.908405,0.908405,0.999906,no
SF3B4,-0.20806,0.523499,0.523499,0.999906,no
SF3B5,0.0463641,0.886055,0.886055,0.999906,no
SFI1,-0.118791,0.84848,0.84848,0.999906,no
SFMBT1,0.170418,0.811802,0.811802,0.999906,no
SFMBT2,-0.31428,0.643974,0.643974,0.999906,no
SFPQ,-0.240351,0.439719,0.439719,0.999906,no
SFR1,-0.000799914,0.999191,0.999191,0.999906,no
SFRP1,-0.576489,0.177729,0.177729,0.999906,no
SFRP2,1.39914,0.0733951,0.0733951,0.87912,no
SFRP4,1.01428,0.0371066,0.0371066,0.591458,no
SFSWAP,0.0502126,0.883321,0.883321,0.999906,no
SFT2D1,-0.363984,0.348537,0.348537,0.999906,no
SFT2D2,-0.63562,0.241376,0.241376,0.999906,no
SFT2D3,-0.395346,0.397139,0.397139,0.999906,no
SFTA1P,-1.96893,0.106484,0.106484,0.999906,no
SFXN1,-0.0570577,0.869212,0.869212,0.999906,no
SFXN2,-0.577122,0.481011,0.481011,0.999906,no
SFXN3,-0.291082,0.34821,0.34821,0.999906,no
SFXN4,-0.123134,0.839334,0.839334,0.999906,no
SFXN5,0.375767,0.398423,0.398423,0.999906,no
SGCB,-0.486312,0.118738,0.118738,0.999906,no
SGCD,1.29428,0.0178436,0.0178436,0.358811,no
SGCE,-0.0198987,0.950972,0.950972,0.999906,no
SGCG,0.1368,0.893619,0.893619,0.999906,no
SGIP1,-0.134032,0.713769,0.713769,0.999906,no
SGK1,-0.518273,0.104964,0.104964,0.999906,no
SGK196,0.201678,0.787814,0.787814,0.999906,no
SGK223,-0.00456329,0.992497,0.992497,0.999906,no
SGK3,-0.705828,0.189892,0.189892,0.999906,no
SGK494,-0.228768,0.962484,0.962484,0.999906,no
SGMS1,0.369736,0.242158,0.242158,0.999906,no
SGMS2,-0.497337,0.138828,0.138828,0.999906,no
SGOL2,0.272527,0.615806,0.615806,0.999906,no
SGPL1,0.0274865,0.933843,0.933843,0.999906,no
SGPP1,-0.233584,0.498541,0.498541,0.999906,no
SGSH,0.175984,0.576359,0.576359,0.999906,no
SGSM2,0.149931,0.643341,0.643341,0.999906,no
SGSM3,-0.134553,0.790542,0.790542,0.999906,no
SGTA,-0.150043,0.638759,0.638759,0.999906,no
SGTB,-0.753825,0.0615276,0.0615276,0.806989,no
SH2B1,-0.0609801,0.877946,0.877946,0.999906,no
SH2B3,-0.278321,0.38688,0.38688,0.999906,no
SH2D4A,0.483551,0.14193,0.14193,0.999906,no
SH2D5,-0.0915773,0.913014,0.913014,0.999906,no
SH3BGR,0.472413,0.5295,0.5295,0.999906,no
SH3BGRL,0.0386725,0.902763,0.902763,0.999906,no
SH3BGRL2,0.517457,0.266921,0.266921,0.999906,no
SH3BGRL3,-0.0358129,0.908306,0.908306,0.999906,no
SH3BP1,0.888464,0.110293,0.110293,0.999906,no
SH3BP2,0.787199,0.0750013,0.0750013,0.889028,no
SH3BP4,-0.031405,0.922446,0.922446,0.999906,no
SH3BP5,0.886645,0.0124607,0.0124607,0.283805,no
SH3BP5L,-0.170725,0.615349,0.615349,0.999906,no
